outPkts,inPkts,outByts,inByts,outData,outDataByts,inData,inDataByts,outPkts/s,inPkts/s,outByts/s,inByts/s,byts/s,pkts/s,outPktLenMax,outPktLenMin,outPktLenMean,inPktLenMax,inPktLenMin,inPktLenMean,FIN,SYN,RST,PSH,ACK,URG,CWR,ECE
2,2,857,374,1,748,1,265,8.43,8.43,3613.31,1576.87,5190.18,16.86,805,805,428.5,322,322,187.0,0,0,0,1,1,0,0,0
1,1,52,52,0,0,0,0,86.52,86.52,4499.03,4499.03,8998.06,173.04,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
2,2,957,374,1,848,1,265,6.12,6.12,2928.3,1144.39,4072.6900000000005,12.24,905,905,478.5,322,322,187.0,0,0,0,1,1,0,0,0
38,44,3013,43389,4,486,7,2552,14.59,16.89,1156.63,16656.11,17812.74,31.48,569,569,79.28947368421052,1432,1432,986.1136363636367,0,1,0,1,1,0,0,0
2,1,483,850,0,0,0,0,57.92,28.96,13986.8,24614.46,38601.259999999995,86.88,431,431,241.5,850,850,850.0,0,0,0,1,1,0,0,0
1,1,52,52,0,0,0,0,5.21,5.21,270.78,270.78,541.56,10.42,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
3,3,1106,426,1,945,1,265,4.83,4.83,1781.76,686.29,2468.05,9.66,1002,1002,368.6666666666667,322,322,142.0,0,0,0,1,1,0,0,0
1,1,52,52,0,0,0,0,3.59,3.59,186.81,186.81,373.62,7.18,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
14,13,1504,4203,3,254,3,292,23.46,21.78,2519.85,7041.83,9561.68,45.24,569,569,107.42857142857143,1432,1432,323.3076923076923,1,1,1,1,1,0,0,0
12,9,1424,3960,3,254,2,249,16.37,12.28,1942.61,5402.21,7344.82,28.65,569,569,118.66666666666667,1432,1432,440.0,1,1,1,1,1,0,0,0
100,111,9176,93299,31,3290,48,25991,66.44,73.75,6096.96,61992.19,68089.15000000001,140.19,569,569,91.75999999999996,1432,1432,840.5315315315315,0,1,0,1,1,0,0,0
