outPkts,inPkts,outByts,inByts,outData,outDataByts,inData,inDataByts,outPkts/s,inPkts/s,outByts/s,inByts/s,byts/s,pkts/s,outPktLenMax,outPktLenMin,outPktLenMean,inPktLenMax,inPktLenMin,inPktLenMean,FIN,SYN,RST,PSH,ACK,URG,CWR,ECE,ftp,ssh,telnet,http,https,well-known port,registered port,dynamic port,Label
52136,4,0,352,0,4,144,0,0,9.76,0.0,858.98,0.0,858.98,9.76,88,88,88.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,11,7,716,9428,4,144,7,9064,18.0,11.45,1171.66,15428.01,16599.670000000002,29.45,88,88,65.0909090909091,4708,4708,1346.857142857143,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,8,12,9488,768,8,9072,4,144,13.65,20.47,16185.7,1310.14,17495.84,34.12,4184,4184,1186.0,88,88,64.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,8,0,9444,0,8,9028,0,0,14.51,0.0,17131.5,0.0,17131.5,14.51,2948,2948,1180.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,3,2,192,272,1,36,2,168,24.05,16.03,1539.31,2180.69,3720.0,40.08,88,88,64.0,184,184,136.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,2,3,272,192,2,168,1,36,28.25,42.38,3842.65,2712.46,6555.110000000001,70.63,184,184,136.0,88,88,64.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,2,0,272,0,2,168,0,0,56.76,0.0,7719.77,0.0,7719.77,56.76,184,184,136.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,8,5,524,840,3,108,5,580,35.14,21.96,2301.67,3689.71,5991.38,57.1,88,88,65.5,392,392,168.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,5,8,840,524,5,580,3,108,22.29,35.66,3744.69,2335.97,6080.66,57.949999999999996,392,392,168.0,88,88,65.5,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,5,0,840,0,5,580,0,0,24.54,0.0,4122.64,0.0,4122.64,24.54,392,392,168.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,17,12,1064,1408,5,180,12,784,22.54,15.91,1411.05,1867.25,3278.3,38.45,88,88,62.588235294117645,232,232,117.33333333333333,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,8,15,780,1056,6,364,7,276,11.03,20.69,1075.63,1456.24,2531.87,31.72,228,228,97.5,112,112,70.4,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,11,0,1320,0,11,748,0,0,15.82,0.0,1898.41,0.0,1898.41,15.82,232,232,120.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,4,2,280,272,2,72,2,168,21.44,10.72,1500.94,1458.05,2958.99,32.160000000000004,88,88,70.0,160,160,136.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,3,0,384,0,3,228,0,0,3.05,0.0,389.77,0.0,389.77,3.05,160,160,128.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,2,1,140,112,1,36,1,60,149.07,74.53,10434.89,8347.91,18782.8,223.6,88,88,70.0,112,112,112.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,2,1,140,96,1,36,1,44,85.21,42.6,5964.54,4089.97,10054.51,127.81,88,88,70.0,96,96,96.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,1,0,96,0,1,44,0,0,0,0,0,0,0,0,96,96,96,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,8,4,560,488,4,144,4,280,14.33,7.17,1003.19,874.21,1877.4,21.5,88,88,70.0,224,224,122.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,4,0,488,0,4,280,0,0,7.48,0.0,912.43,0.0,912.43,7.48,224,224,122.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,8,4,560,352,4,144,4,144,14.47,7.24,1013.05,636.77,1649.82,21.71,88,88,70.0,88,88,88.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,4,0,352,0,4,144,0,0,7.56,0.0,665.48,0.0,665.48,7.56,88,88,88.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,2,1,140,88,1,36,1,36,84.6,42.3,5921.95,3722.37,9644.32,126.89999999999999,88,88,70.0,88,88,88.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,1,0,88,0,1,36,0,0,0,0,0,0,0,0,88,88,88,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,14,7,980,616,6,216,7,252,14.11,7.05,987.36,620.62,1607.98,21.16,88,88,70.0,88,88,88.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,8,0,704,0,8,288,0,0,7.65,0.0,673.35,0.0,673.35,7.65,88,88,88.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,13,7,892,640,6,216,7,276,14.33,7.71,983.07,705.34,1688.41,22.04,88,88,68.61538461538461,104,104,91.42857142857143,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,7,0,864,0,6,456,0,0,9.59,0.0,1183.06,0.0,1183.06,9.59,312,312,123.42857142857143,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,8,8,2016,2016,1,48,1,48,88.68,88.68,22347.63,22347.63,44695.26,177.36,1564,1564,252.0,1564,1564,252.0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
56168,1,1,52,312,0,0,1,260,130.86,130.86,6804.47,40826.84,47631.31,261.72,52,52,52.0,312,312,312,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,10,6,664,648,4,144,6,336,25.09,15.05,1665.65,1625.52,3291.17,40.14,88,88,66.4,168,168,108.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,6,0,648,0,6,336,0,0,15.16,0.0,1637.45,0.0,1637.45,15.16,168,168,108.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,4,2,280,176,2,72,2,72,16.39,8.19,1147.06,721.01,1868.07,24.58,88,88,70.0,88,88,88.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,3,0,192,0,1,36,0,0,13.9,0.0,889.69,0.0,889.69,13.9,88,88,64.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
56168,1,1,52,160,0,0,1,108,1752.74,1752.74,91142.42,280438.21,371580.63,3505.48,52,52,52.0,160,160,160,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
52136,1,0,160,0,1,108,0,0,0,0,0,0,0,0,160,160,160,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
52136,9,0,1112,0,7,644,0,0,11.2,0.0,1384.07,0.0,1384.07,11.2,280,280,123.55555555555556,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,14,11,852,1360,3,124,11,788,14.08,11.06,856.62,1367.37,2223.99,25.14,96,96,60.857142857142854,280,280,123.63636363636364,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,7,0,616,0,7,252,0,0,7.51,0.0,660.63,0.0,660.63,7.51,88,88,88.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,18,9,1332,792,9,396,9,324,20.17,10.08,1492.22,887.26,2379.48,30.25,96,96,74.0,88,88,88.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,6,0,528,0,6,216,0,0,7.58,0.0,667.44,0.0,667.44,7.58,88,88,88.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,8,4,584,376,4,168,4,168,8.05,4.02,587.42,378.2,965.6199999999999,12.07,96,96,73.0,112,112,94.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,7,0,784,0,7,420,0,0,7.67,0.0,859.28,0.0,859.28,7.67,112,112,112.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,12,6,840,672,6,216,6,360,15.83,7.92,1108.35,886.68,1995.0299999999997,23.75,88,88,70.0,112,112,112.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,4,2,280,240,2,72,2,136,6.0,3.0,420.35,360.3,780.6500000000001,9.0,88,88,70.0,128,128,120.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,2,0,240,0,2,136,0,0,3.0,0.0,359.64,0.0,359.64,3.0,128,128,120.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,8,4,560,456,4,144,4,248,9.28,4.64,649.27,528.69,1177.96,13.919999999999998,88,88,70.0,120,120,114.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,5,0,568,0,5,308,0,0,5.0,0.0,568.16,0.0,568.16,5.0,120,120,113.6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,12,8,792,832,4,144,8,416,12.76,8.5,841.94,884.46,1726.4,21.259999999999998,88,88,66.0,120,120,104.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,5,0,544,0,5,284,0,0,6.47,0.0,704.33,0.0,704.33,6.47,120,120,108.8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,5,3,332,832,2,72,3,676,5.25,3.15,348.84,874.21,1223.05,8.4,88,88,66.4,656,656,277.3333333333333,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,4,0,848,0,2,640,0,0,4.47,0.0,948.16,0.0,948.16,4.47,656,656,212.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
56168,3,2,192,232,1,36,2,128,3.03,2.02,193.79,234.16,427.95,5.05,88,88,64.0,144,144,116.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
52136,5,0,424,0,3,164,0,0,4.84,0.0,410.47,0.0,410.47,4.84,144,144,84.8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,6,4,384,968,2,72,4,760,26.81,17.87,1715.59,4324.71,6040.3,44.68,88,88,64.0,648,648,242.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,3,0,880,0,3,724,0,0,51.04,0.0,14972.61,0.0,14972.61,51.04,648,648,293.3333333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,8,4,560,352,4,144,4,144,12.32,6.16,862.26,541.99,1404.25,18.48,88,88,70.0,88,88,88.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,4,0,352,0,4,144,0,0,6.17,0.0,543.03,0.0,543.03,6.17,88,88,88.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,12,6,840,560,6,216,5,204,16.95,8.47,1186.18,790.79,1976.97,25.42,88,88,70.0,96,96,93.33333333333333,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,6,0,560,0,6,248,0,0,8.5,0.0,793.79,0.0,793.79,8.5,96,96,93.33333333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,8,4,560,352,4,144,4,144,22.37,11.19,1565.95,984.31,2550.26,33.56,88,88,70.0,88,88,88.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,4,0,352,0,4,144,0,0,11.98,0.0,1053.94,0.0,1053.94,11.98,88,88,88.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,2,1,140,88,1,36,1,36,85.19,42.59,5963.26,3748.34,9711.6,127.78,88,88,70.0,88,88,88.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,1,0,88,0,1,36,0,0,0,0,0,0,0,0,88,88,88,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,14,7,980,616,7,252,7,252,14.25,7.12,997.25,626.85,1624.1,21.37,88,88,70.0,88,88,88.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,7,0,616,0,7,252,0,0,7.3,0.0,642.24,0.0,642.24,7.3,88,88,88.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,12,6,840,528,6,216,6,216,14.28,7.14,999.79,628.44,1628.23,21.419999999999998,88,88,70.0,88,88,88.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,7,0,616,0,7,252,0,0,6.84,0.0,602.0,0.0,602.0,6.84,88,88,88.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,7,4,472,376,3,108,3,132,14.37,8.21,969.18,772.06,1741.2399999999998,22.58,88,88,67.42857142857143,112,112,94.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,3,0,288,0,3,132,0,0,7.5,0.0,719.66,0.0,719.66,7.5,112,112,96.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,3,3,228,192,2,72,1,36,15.27,15.27,1160.42,977.19,2137.61,30.54,88,88,76.0,88,88,64.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,3,0,192,0,1,36,0,0,17.85,0.0,1142.67,0.0,1142.67,17.85,88,88,64.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
56168,14,12,872,1432,4,144,10,808,14.42,12.36,897.88,1474.5,2372.38,26.78,88,88,62.285714285714285,224,224,119.33333333333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
52136,10,0,1256,0,8,736,0,0,10.3,0.0,1293.22,0.0,1293.22,10.3,224,224,125.6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,8,5,524,1056,3,108,5,796,14.08,8.8,922.1,1858.27,2780.37,22.880000000000003,88,88,65.5,648,648,211.2,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,5,0,1056,0,5,796,0,0,9.17,0.0,1937.24,0.0,1937.24,9.17,648,648,211.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,8,4,560,352,4,144,4,144,23.92,11.96,1674.51,1052.55,2727.06,35.88,88,88,70.0,88,88,88.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,4,0,352,0,4,144,0,0,12.24,0.0,1077.47,0.0,1077.47,12.24,88,88,88.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,4,2,280,176,2,72,2,72,5.02,2.51,351.53,220.96,572.49,7.529999999999999,88,88,70.0,88,88,88.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,2,0,176,0,2,72,0,0,2.59,0.0,227.87,0.0,227.87,2.59,88,88,88.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
